iter	Logloss
0	0.6857483764
50	0.4631678222
100	0.3666283909
150	0.3073239475
200	0.2664937956
250	0.2406013314
300	0.2200818907
350	0.2034339992
400	0.1884229693
450	0.1754148369
500	0.1645869542
550	0.1543514415
600	0.145580171
650	0.1361958859
700	0.1284220187
750	0.1196437141
800	0.1127092481
850	0.1059689979
900	0.09911254694
950	0.09323477922
999	0.08833360515
